"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE903840690557";"SOLAR 2 - FALKENSTEIN";"In Betrieb";"Solare Strahlungsenergie";"987";"987";"12/31/2010";"2/7/2019";"Sachsen";"08223";"Neustadt";"Neustädter Straße";"9 z";"";"";"14523290";"50,2821";"12,2016";"4200";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"9/7/2022";"";"";"Aquila SolarINVEST II GmbH & Co. KG";"ABR955039376872";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL964936229426";"EEG906562518901";"E41081010000000000000000000139536";"12/31/2010";"987";"";"";"";"";""
"SEE905425941283";"SOLAR 2 - WERDAU";"In Betrieb";"Solare Strahlungsenergie";"1275,12";"1260";"12/28/2010";"2/7/2019";"Sachsen";"08412";"Werdau";"Freistraße";"5";"";"";"14524300";"50,7146";"12,3824";"5544";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/20/2022";"";"";"Aquila SolarINVEST II GmbH & Co. KG";"ABR955039376872";"Volleinspeisung";"";"Stadtwerke Werdau GmbH (SNB962389410347)";"SNB962389410347";"Geprüft";"Mittelspannung";"SEL995419146237";"EEG916573996995";"E41081010000000000000000000149932";"12/30/2010";"1275,12";"";"";"";"";""
"SEE957533408233";"RCP Solarpark Fürstenwalde";"In Betrieb";"Solare Strahlungsenergie";"4716,96";"4320";"12/9/2011";"2/8/2019";"Brandenburg";"15517";"Fürstenwalde";"Steinhöfeler Chaussee";"0";"";"";"12067144";"52,390004";"14,093905";"20817";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/26/2021";"";"";"RCP Solarpark Fürstenwalde GmbH & Co. KG";"ABR914904135549";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL922490316464";"EEG923483134034";"E41860010000000000420533574200001";"12/9/2011";"4716,96";"";"";"";"";""
"SEE913026246256";"NMB Star Asset Sun CROSSEN";"In Betrieb";"Solare Strahlungsenergie";"602,14";"602,14";"12/28/2010";"2/8/2019";"Sachsen";"08058";"Zwickau";"Berthelsdorfer Straße";"25 z";"";"";"14524330";"50,7633";"12,496";"2618";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"11/18/2022";"";"";"NMB Star Holding GmbH";"ABR901104268665";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL995388979409";"EEG928435745139";"E41081010000000000000000000155696";"12/28/2010";"602,14";"";"";"";"";""
"SEE901840180382";"NMB Star Asset Sun DESSAU";"In Betrieb";"Solare Strahlungsenergie";"1105,44";"1014,3";"6/29/2012";"2/8/2019";"Sachsen-Anhalt";"06862";"Dessau-Roßlau";"";"";"Rodleben";"Flur 5, Fl. Nr. 233";"15001000";"51,5443";"12,124";"4704";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"8/8/2019";"";"";"NMB Star Holding GmbH";"ABR901104268665";"Volleinspeisung";"";"Dessauer Stromversorgung GmbH (SNB954281375657)";"SNB954281375657";"In Prüfung";"Mittelspannung";"SEL947402320414";"EEG903431557825";"E41081010000000000000000000186968";"6/29/2012";"1105,44";"";"";"";"";""
"SEE915892415729";"NMB Star Asset Sun HARTMANNSDORF";"In Betrieb";"Solare Strahlungsenergie";"1336,32";"1276";"3/8/2012";"2/8/2019";"Sachsen";"09232";"Hartmannsdorf";"Limbacher Straße";"12 c";"";"";"14522260";"50,8845";"12,8028";"5568";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"11/2/2022";"";"";"NMB Star Holding GmbH";"ABR901104268665";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL964218884831";"EEG982822226472";"E41081010000000000000000000179012";"3/8/2012";"1336,32";"";"";"";"";""
"SEE937479057504";"NMB Star Asset Sun STOLLBERG";"In Betrieb";"Solare Strahlungsenergie";"1368,64";"1140";"12/28/2011";"2/8/2019";"Sachsen";"09366";"Stollberg";"Obere Hartensteiner Straße";"30";"";"";"14521590";"50,3941";"12,4155";"5824";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"NMB Star Asset Sun Stollberg GmbH & Co. KG";"ABR979626097377";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL915258761750";"EEG967162311026";"E41081010000000000000000000154536";"12/28/2011";"1368,64";"";"";"";"";""
"SEE966825123952";"Herzberg";"In Betrieb";"Solare Strahlungsenergie";"676,2";"552";"1/31/2013";"2/10/2019";"Brandenburg";"16835";"Herzberg";"Im Gewerbepark";"6";"";"";"12068188";"52,904416";"12,978279";"2940";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"2/13/2020";"";"";"Schmölz Solarstrom, Inhaber: Stefan Schmölz";"ABR910112732594";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL986844669781";"EEG959606484069";"E4186001SZP0000000000047667500001";"1/31/2013";"676,2";"";"";"";"";""
"SEE923072192476";"PVA Herzberg";"In Betrieb";"Solare Strahlungsenergie";"739,2";"577,92";"2/9/2019";"2/11/2019";"Brandenburg";"16835";"Herzberg";"Im Gewerbepark";"0";"";"";"12068188";"52,906478";"12,97297";"2640";"Süd-West";"";"";"";"";"";"";"";"";"Freifläche";"6/17/2021";"";"";"Parabel 102 GmbH & Co. KG";"ABR997999550350";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL956334474119";"EEG954301211767";"";"2/9/2019";"739,2";"";"";"";"";""
"SEE916686576664";"Solarpark Gardelegen - Anlagenteil 2";"In Betrieb";"Solare Strahlungsenergie";"5754,715";"4756,5";"2/27/2018";"2/25/2019";"Sachsen-Anhalt";"39638";"Gardelegen";"";"";"Gardelegen";"Flur39: 422";"15081135";"52,533889";"11,430278";"20723";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"LHI GII1 PV Garde Halde 2317 GmbH & Co. KG";"ABR948365336078";"Volleinspeisung";"SGE985291079235";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL952685242223";"EEG933331826080";"E4187802S000000000000096135000001";"2/27/2018";"5754,715";"FFA16-2/046,";"";"";"";""
"SEE905259619594";"EPC 19 - Freiland Barnstädt";"In Betrieb";"Solare Strahlungsenergie";"1295,76";"1268";"12/27/2011";"2/11/2019";"Sachsen-Anhalt";"06268";"Barnstädt";"Arno-Reichmann-Straße";"4z";"";"";"15088030";"51,349488";"11,6339";"6216";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"EPC 19 GmbH & Co. KG";"ABR912173443693";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL984836759953";"EEG907116729798";"E41081010000000000000000000170414";"12/27/2011";"1295,76";"";"";"";"";""
"SEE984048576416";"Hillersleben 2.1.A";"In Betrieb";"Solare Strahlungsenergie";"695,75";"600";"2/5/2019";"2/14/2019";"Sachsen-Anhalt";"39340";"Haldensleben";"Bülstringer Str.";"111";"";"";"15083270";"52,281749";"11,482255";"2530";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"11/9/2019";"";"";"ENERPARC Beteiligungs GmbH";"ABR933000384699";"Volleinspeisung";"SGE949878131914";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"In Prüfung";"Umspannebene Hochspannung/Mittelspannung";"SEL964398442968";"EEG983380734966";"";"2/5/2019";"695,75";"";"";"";"";""
"SEE909408777098";"PV-Freiflächenanlage Walbeck";"In Betrieb";"Solare Strahlungsenergie";"2512,56";"2220";"12/30/2011";"2/12/2019";"Sachsen-Anhalt";"06333";"Hettstedt";"Neue Walbecker Straße";"";"";"";"15087220";"51,655119";"11,481519";"10704";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"9/5/2022";"";"";"Ranft Grundstücksverwaltungs GbR";"ABR958681196058";"Volleinspeisung";"";"Stadtwerke Hettstedt GmbH (SNB944962954653)";"SNB944962954653";"Geprüft";"Mittelspannung";"SEL961847771969";"EEG956545599991";"E41081010000000000000000000180634";"12/30/2011";"2512,56";"";"";"";"";""
"SEE977062970940";"PV-Oschersleben";"In Betrieb";"Solare Strahlungsenergie";"748,28";"600";"2/8/2018";"2/12/2019";"Sachsen-Anhalt";"39387";"Oschersleben";"Zum Lehnertsgraben";"10";"";"";"15083415";"52,02353";"11,266376";"2879";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/27/2021";"";"";"Solar Holding Beteiligungsgesellschaft mbH";"ABR954030221532";"Volleinspeisung";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL969733368545";"EEG975884547937";"";"2/8/2018";"748,28";"";"";"";"";""
"SEE966463446734";"DE49.005 Wriezen BA II";"In Betrieb";"Solare Strahlungsenergie";"5563,35";"4100,4";"2/12/2019";"2/13/2019";"Brandenburg";"16269";"Wriezen";"";"";"Wriezen";"Flur 12: 64/18, 64/20,064/21, 288/7, 288/21, 420,421, 501,0503";"12064512";"52,736857";"14,131242";"17118";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"10/21/2022";"";"";"PVA Bliesdorf II GmbH & Co. KG";"ABR914289954339";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL983106720051";"EEG939762213710";"";"2/12/2019";"5563,35";"SOL17-1/075; Gem18-2/017,";"";"";"";""
"SEE920572451805";"SPH2";"In Betrieb";"Solare Strahlungsenergie";"6363,9";"4988";"12/14/2011";"2/13/2019";"Sachsen";"02788";"Hirschfelde";"An der B 99";"";"";"";"14626610";"50,934188";"14,862725";"33540";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/27/2021";"";"";"Solarpark Hirschfelde Zwei";"ABR933545683608";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"In Prüfung";"Mittelspannung";"SEL952621444414";"EEG974745395809";"E41874010000000000314100988700001";"12/14/2011";"6363,9";"";"";"";"";""
"SEE979719905541";"PV Beeskow";"In Betrieb";"Solare Strahlungsenergie";"1000";"800";"12/23/2011";"2/14/2019";"Brandenburg";"15848";"Beeskow";"";"";"Beeskow";"Flur 3, 258/2, 440, 590";"12067036";"52,190773";"14,255265";"12500";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"11/11/2022";"";"";"N-ERGIE Sonne und Wind GmbH & Co. KG";"ABR954022931739";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL917416924311";"EEG926090104629";"E41860010000000000620638605000001";"12/23/2011";"1000";"";"";"";"";""
"SEE937280613210";"PV-Anlage 15.09.2000";"In Betrieb";"Solare Strahlungsenergie";"2,45";"2";"9/15/2000";"2/13/2019";"Brandenburg";"16303";"Schwedt";"";"";"";"";"12073532";"";"";"34";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"natürliche Person (ABR989916765404)";"ABR989916765404";"Volleinspeisung";"";"Stadtwerke Schwedt GmbH (SNB913280322543)";"SNB913280322543";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL967058483363";"EEG999607743390";"E4016301S30123A000000000000100001";"9/15/2000";"2,45";"";"";"";"";""
"SEE991542328236";"PVA Zittau";"In Betrieb";"Solare Strahlungsenergie";"749,77";"630";"5/15/2018";"2/14/2019";"Sachsen";"02763";"Zittau";"Hörnitzer Straße";"";"";"";"14626310";"50,903872";"14,769974";"2307";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"ASG Solar 8 GmbH & Co. KG";"ABR934756122955";"Volleinspeisung";"";"Stadtwerke Zittau GmbH (SNB959966681252)";"SNB959966681252";"Geprüft";"Mittelspannung";"SEL926781956698";"EEG988825893932";"E4079901ET00000000000003831600001";"5/15/2018";"749,77";"";"";"";"";""
"SEE987200766496";"PVA Großbothen";"In Betrieb";"Solare Strahlungsenergie";"749,775";"601,35";"5/2/2018";"2/14/2019";"Sachsen";"04668";"Grimma";"Am Stockweg";"13";"";"";"14729160";"51,178";"12,762";"2307";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/30/2021";"";"";"ASG Solar 8 GmbH & Co. KG";"ABR934756122955";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL963749409520";"EEG971495411674";"E41081010000000000000000000254990";"5/2/2018";"749,775";"";"";"";"";""
"SEE941766307678";"SBA Alsleben";"In Betrieb";"Solare Strahlungsenergie";"673,92";"540";"8/28/2015";"3/19/2019";"Sachsen-Anhalt";"06425";"Alsleben";"";"";"Alsleben";"Flur 12 / Flurstück 39";"15089005";"51,717194";"11,662963";"2592";"Süd-Ost";"";"";"";"";"";"";"";"";"Freifläche";"11/18/2020";"";"";"SBA Solaranlagen Betriebs- und Verwaltungs GmbH";"ABR950078853308";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL906844685420";"EEG996514994945";"E41081010000000000000000000229197";"8/28/2015";"673,92";"";"";"";"";""
"SEE936462500423";"Großenhain II";"In Betrieb";"Solare Strahlungsenergie";"1481,04";"1452";"3/8/2016";"2/15/2019";"Sachsen";"01558";"Großenhain";"Radeburger Straße";"102";"";"";"14627060";"51,295";"13,554";"5808";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/27/2021";"";"";"SKKKNVB Solarpark Großenhain 2 GmbH & Co. KG";"ABR953266242212";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL951421081621";"EEG911838040574";"E41874010000000000350000000300001";"3/8/2016";"1481,04";"";"";"";"";""
"SEE946774553727";"CTV_PV10-1_Zangenberg_Kurt_Lange_Strasse_903001R";"In Betrieb";"Solare Strahlungsenergie";"756";"756";"11/30/2013";"2/22/2019";"Sachsen-Anhalt";"06711";"Zeitz";"";"";"Zangenberg";"Flur2: 812/45";"15084590";"51,072886";"12,148665";"3024";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"Cleantech Vision PV 10 GmbH & Co KG";"ABR981690093261";"Volleinspeisung";"";"REDINET Burgenland GmbH (SNB963995572245)";"SNB963995572245";"Geprüft";"Mittelspannung";"SEL935076594811";"EEG966780432632";"E41555010671140191971xx0091000001";"11/30/2013";"756";"";"";"";"";""
"SEE986148235958";"PVF Geringswalde I";"In Betrieb";"Solare Strahlungsenergie";"748";"612";"1/31/2019";"2/17/2019";"Sachsen";"09326";"Geringswalde";"Arraser Straße";"";"";"";"14522190";"51,068184";"12,904911";"2720";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"4/27/2020";"";"";"Erste WI Photovoltaikanlage UG (haftungsbeschränkt) & Co.KG";"ABR968338603822";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL914088910192";"EEG930207013315";"E41081010000000000000000000285185";"1/31/2019";"748";"";"";"";"";""
"SEE913944786452";"Solarpark Letzlingen I";"In Betrieb";"Solare Strahlungsenergie";"749,52";"614,3";"7/11/2017";"2/18/2019";"Sachsen-Anhalt";"39638";"Gardelegen";"";"";"Letzlingen";"Flur 2: 26/6.";"15081135";"52,453806";"11,476264";"2776";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/6/2020";"";"";"Green Energy 018 GmbH & Co. KG";"ABR998246580656";"Volleinspeisung";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL932868621267";"EEG917748513139";"";"7/11/2017";"749,52";"";"";"";"";""
"SEE958040166289";"Solarpark Letzlingen II";"In Betrieb";"Solare Strahlungsenergie";"3594,24";"2913,7";"8/11/2017";"2/18/2019";"Sachsen-Anhalt";"39638";"Gardelegen";"";"";"Letzlingen";"Flur 2: 26/6.";"15081135";"52,453803";"11,476931";"13312";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/18/2020";"";"";"Green Energy 018 GmbH & Co. KG";"ABR998246580656";"Volleinspeisung";"";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Mittelspannung";"SEL932868621267";"EEG997291542121";"E4187802EA01000000000095960500002";"8/11/2017";"3594,24";"FFA15-2/019,";"";"";"";""
"SEE901637951584";"PV-Anlage Dümlingstrasse 835,38 kWp";"In Betrieb";"Solare Strahlungsenergie";"835,38";"780";"12/29/2011";"2/19/2019";"Sachsen-Anhalt";"39218";"Schönebeck";"Wilhelm-Dümling-Straße";"";"";"";"15089305";"52,028763";"11,704438";"3276";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"Firma Mathias Groß (Aluminiumwerk Schönebeck)";"ABR948542009412";"Volleinspeisung";"";"Stadtwerke Schönebeck GmbH - SWS - (SNB936461984224)";"SNB936461984224";"Geprüft";"Mittelspannung";"SEL996357415454";"EEG954581043157";"E41214013921800215000001150345610";"12/29/2011";"835,38";"";"";"";"";""
"SEE958262849878";"PV-Anlage Industriestrasse 291,69 kWp";"In Betrieb";"Solare Strahlungsenergie";"291,69";"270";"12/21/2011";"2/19/2019";"Sachsen-Anhalt";"39218";"Schönebeck";"Industriestraße";"6";"";"";"15089305";"52,011801";"11,764913";"1134";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"9/22/2022";"";"";"Firma Mathias Groß (Aluminiumwerk Schönebeck)";"ABR948542009412";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Stadtwerke Schönebeck GmbH - SWS - (SNB936461984224)";"SNB936461984224";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL911169635968";"EEG965185917461";"E41214013921802911006001150344738";"12/21/2011";"291,69";"";"";"";"";""
"SEE960363978791";"PVA Zeithain II";"In Betrieb";"Solare Strahlungsenergie";"4999,725";"4220";"10/5/2017";"3/11/2019";"Sachsen";"01619";"Zeithain";"Industriestraße D";"10";"";"";"14627040";"51,33725";"13,358722";"18864";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"10/7/2021";"";"";"SachsenEnergie AG";"ABR916198639970";"Volleinspeisung";"SGE941850008870";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Mittelspannung";"SEL993597539360";"EEG990779446249";"E41874010000000000350000058700001";"10/5/2017";"4999,725";"FFA16-2/016,";"";"";"";""
"SEE936892441280";"PV-Anlage Industriestrasse 234,825";"In Betrieb";"Solare Strahlungsenergie";"234,825";"204";"12/23/2010";"2/19/2019";"Sachsen-Anhalt";"39218";"Schönebeck";"Industriestraße";"6";"";"";"15089305";"52,012666";"11,764841";"3030";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"Solarpark Schönebeck Nr. 1 UG & Co. KG";"ABR967328174458";"Volleinspeisung";"";"Stadtwerke Schönebeck GmbH - SWS - (SNB936461984224)";"SNB936461984224";"Geprüft";"Mittelspannung";"SEL921130325491";"EEG926273885161";"E41214013921802911006004150321660";"12/23/2010";"234,825";"";"";"";"";""
"SEE922520569822";"PVA Dresden - Reick I";"In Betrieb";"Solare Strahlungsenergie";"813,075";"600";"5/30/2014";"2/22/2019";"Sachsen";"01277";"Dresden";"Liebstädter Straße";"1";"";"";"14612000";"51,0235";"13,7857";"4080";"West";"";"";"";"";"";"";"";"";"Freifläche";"11/12/2019";"";"";"DREWAG - Stadtwerke Dresden GmbH";"ABR980307340545";"Teileinspeisung (einschließlich Eigenverbrauch)";"SGE900084639892";"SachsenNetze GmbH (SNB980808485264)";"SNB980808485264";"Geprüft";"Mittelspannung";"SEL962818615213";"EEG973548735379";"E42941010000000000400052315500001";"5/30/2014";"813,075";"";"";"";"";""
"SEE982321177572";"PV-Anlage Industriestrasse 783,75 kWp";"In Betrieb";"Solare Strahlungsenergie";"783,75";"672";"12/18/2009";"2/19/2019";"Sachsen-Anhalt";"39218";"Schönebeck";"Industriestraße";"6";"";"";"15089305";"52,013057";"11,766378";"10450";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"5/28/2019";"";"";"AWS Aluminiumwerk Schönebeck UG & Co. KG";"ABR903193455063";"Volleinspeisung";"";"Stadtwerke Schönebeck GmbH - SWS - (SNB936461984224)";"SNB936461984224";"Geprüft";"Mittelspannung";"SEL930534674982";"EEG907068694038";"E41214013921802911006001150321660";"12/18/2009";"783,75";"";"";"";"";""
"SEE936809180813";"PVA Alt Daber 2";"In Betrieb";"Solare Strahlungsenergie";"9817,5";"7860";"10/30/2017";"2/19/2019";"Brandenburg";"16909";"Wittstock";"";"";"Wittstock";"Flur 20: 87, 88/1, 89/1, 397. Flur 21: 217, 232, 234, 236";"12068181";"53,195851";"12,515013";"34320";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"11/8/2022";"";"";"Enerparc Solar Invest 97 GmbH";"ABR915961761597";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL947768713714";"EEG900130968105";"E4186001EA01000000000097959800001";"10/30/2017";"9817,5";"FFA15-3/082,";"";"";"";""
"SEE972381518194";"PVA Landsberg BA 3";"In Betrieb";"Solare Strahlungsenergie";"2369,92";"1860";"6/30/2017";"2/19/2019";"Sachsen-Anhalt";"06188";"Landsberg";"";"";"Braschwitz";"Flur 2: 72/4, 73/4, 507, 513";"15088195";"51,516192";"12,059337";"8487";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/28/2021";"";"";"Sunnic Lighthouse Solar Invest 4 GmbH";"ABR977334029543";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung; Hochspannung; Hochspannung";"SEL913781968332";"EEG949423769920";"E41081010000000000000000000257738";"6/30/2017";"2369,92";"SOL17-1/093,";"";"";"";""
"SEE903966602854";"PVA Kröchlendorff 2";"In Betrieb";"Solare Strahlungsenergie";"8141,31";"6300";"6/7/2018";"2/19/2019";"Brandenburg";"17291";"Nordwestuckermark";"";"";"Kröchlendorff";"Flur 2: 95; 94; 91; 90; 89; 87; 86; 88";"12073429";"53,267795";"13,705062";"30153";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"2/10/2020";"";"";"EP2 Solar Invest 4 GmbH & Co. KG";"ABR932539092051";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Mittelspannung";"SEL935905850699";"EEG950231204312";"E4186001EA01000000000082789600002";"6/7/2018";"8141,31";"FFA16-3/051,";"";"";"";""
"SEE914917708402";"PVA Zeithain BA2";"In Betrieb";"Solare Strahlungsenergie";"9997,68";"8976";"2/6/2018";"2/19/2019";"Sachsen";"01619";"Zeithain";"";"";"Zeithain";"Zeithain: 719/19";"14627040";"51,363264";"13,344038";"35706";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"3/12/2021";"";"";"Sunnic Lighthouse Solar Invest 3 GmbH";"ABR933518125210";"Volleinspeisung";"";"SachsenNetze HS.HD GmbH (SNB968914838013)";"SNB968914838013";"Geprüft";"Hochspannung";"SEL902844647987";"EEG944090514385";"E4187802EA01000000000083176700003";"2/6/2018";"9997,68";"FFA16-2/062,";"";"";"";""
"SEE970590114596";"PVA Letschin";"In Betrieb";"Solare Strahlungsenergie";"9999,615";"8280";"2/5/2018";"2/19/2019";"Brandenburg";"15324";"Letschin";"";"";"Letschin";"Flur 5: 80; 146; 147; 158; 159 Flur 6: 89/1";"12064190";"52,641896";"14,32883";"35915";"Süd";"";"";"";"";"";"";"";"";"Freifläche";"7/30/2019";"";"";"ENERPARC Solar Invest 105 GmbH";"ABR928229970396";"Volleinspeisung";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL945360259753";"EEG912821205994";"E4186001S000000000000097858600001";"2/5/2018";"9999,615";"FFA16-2/059,";"";"";"";""
